Location,City,State,Country (Name),Latitude,Longitude
Statue of Liberty,New York City,New York,United States,40.689249,-74.0445
Rockefeller Center,New York City,New York,United States,40.75951,-73.97797
Metropolitan Museum of Art,New York City,New York,United States,40.779079,-73.962311
Empire State Building,New York City,New York,United States,40.74872,-73.985428
9/11 Memorial and Museum,New York City,New York,United States,40.71143,-74.0132904
